MPU6050 Found!
-0.22,-0.02
2.77,-9.33,-0.73,0.14,-0.00,0.02
2.76,-9.22,-0.68,0.14,-0.00,0.01
2.74,-9.36,-0.76,0.14,-0.00,0.01
2.71,-9.34,-0.83,0.13,-0.01,0.02
2.76,-9.32,-0.78,0.13,-0.00,0.02
2.75,-9.33,-0.77,0.13,0.00,0.00
2.73,-9.34,-0.76,0.14,0.00,-0.01
2.74,-9.32,-0.71,0.14,0.01,-0.01
2.74,-9.32,-0.72,0.14,0.00,0.00
2.74,-9.32,-0.77,0.13,0.00,0.00
2.75,-9.33,-0.76,0.13,-0.00,0.01
2.74,-9.33,-0.71,0.14,-0.00,0.00
2.72,-9.33,-0.72,0.14,-0.00,0.01
2.73,-9.33,-0.77,0.13,-0.01,0.02
2.76,-9.33,-0.76,0.13,-0.00,0.01
2.76,-9.33,-0.73,0.13,0.00,-0.00
2.72,-9.36,-0.75,0.13,-0.00,0.01
2.77,-8.84,-0.57,0.08,0.02,-0.01
2.79,-9.31,-0.91,0.11,0.03,-0.07
2.95,-9.31,-0.67,0.12,0.05,-0.05
3.13,-9.22,-0.77,0.14,0.02,-0.04
3.17,-9.17,-0.71,0.13,0.00,0.01
3.14,-9.28,-0.73,0.13,0.01,-0.02
3.23,-9.19,-0.66,0.14,0.02,-0.04
3.31,-9.15,-0.65,0.13,0.01,0.01
3.28,-9.18,-0.68,0.14,0.01,-0.01
3.34,-9.18,-0.67,0.14,0.00,0.01
3.34,-9.11,-0.66,0.13,0.00,0.01
3.36,-9.18,-0.67,0.14,0.02,-0.03
3.46,-9.13,-0.64,0.15,0.03,-0.07
3.54,-9.09,-0.59,0.12,0.04,0.01
3.64,-9.07,-0.66,0.14,0.01,-0.02
3.66,-9.06,-0.64,0.12,0.07,-0.03
3.84,-9.00,-0.52,0.15,0.03,-0.07
3.95,-8.97,-0.49,0.15,0.06,-0.06
4.10,-8.92,-0.48,0.14,0.06,-0.04
4.23,-8.88,-0.40,0.13,0.05,-0.02
4.25,-8.87,-0.38,0.13,-0.00,0.02
4.22,-8.84,-0.45,0.14,0.01,-0.01
4.24,-8.88,-0.36,0.14,0.00,0.00
4.25,-8.88,-0.32,0.14,0.00,0.01
4.24,-8.89,-0.31,0.14,0.00,-0.00
4.25,-8.89,-0.32,0.13,0.01,0.01
